whois_id,character_id,character_name,slug,descriptor,status,text_path,html_path,has_raw_text,has_raw_html,has_raw_decho,parse_confidence,notes
whois_hercule_1780911702,char_hercule,Hercule,hercule,Broadbeam Adventurer,Retired,data/evidence/whois/text/hercule.txt,data/evidence/whois/html/hercule.html,yes,no,no,medium,query_name=Hercule | display_name=Hercule Poirot | epithet_or_title=Poirot | Last login 10 months and 28 days ago from [numerical address].
whois_herman_1780911707,char_herman,Herman,herman,Hill Troll Brute,Retired,data/evidence/whois/text/herman.txt,data/evidence/whois/html/herman.html,yes,no,no,medium,query_name=Herman | display_name=Herman Hedning of the Bloodbeat | epithet_or_title=Hedning of the Bloodbeat
whois_héróld_1780911713,,Héróld,herold,Rohirric Patriarch,Retired,data/evidence/whois/text/herold.txt,data/evidence/whois/html/herold.html,yes,no,no,medium,"query_name=Herold | display_name=Héróld the Man Patriarch | epithet_or_title=the Man Patriarch | Last login 3 years, 3 months, and 21 days ago."
whois_hex_1780911718,char_hex,Hex,hex,Dúnadan Quickblade,Retired,data/evidence/whois/text/hex.txt,data/evidence/whois/html/hex.html,yes,no,no,medium,"query_name=Hex | display_name=Hex the Man | epithet_or_title=the Man | Last login 10 years, 3 months, and 10 days ago."
whois_hobit_1780911724,char_hobit,Hobit,hobit,Maia,,data/evidence/whois/text/hobit.txt,data/evidence/whois/html/hobit.html,yes,no,no,medium,query_name=Hobit | display_name=Hobit | role=Cartographer
whois_hoeth_1780911729,char_hoeth,Hoeth,hoeth,Half-Elf,Retired,data/evidence/whois/text/hoeth.txt,data/evidence/whois/html/hoeth.html,yes,no,no,medium,"query_name=Hoeth | display_name=Hoeth Silvertear, Chief Warlock of Amon Súl | epithet_or_title=Silvertear, Chief Warlock of Amon Súl | Last login 19 years, 2 months, and 28 days ago."
whois_hoho_1780911735,char_hoho,Hoho,hoho,Maia,Retired,data/evidence/whois/text/hoho.txt,data/evidence/whois/html/hoho.html,yes,no,no,medium,query_name=Hoho | display_name=Hoho haha hehe hihi | epithet_or_title=haha hehe hihi | role=Cartographer
whois_holy_1780911746,char_holy,Holy,holy,Orc,Retired,data/evidence/whois/text/holy.txt,data/evidence/whois/html/holy.html,yes,no,no,medium,query_name=Holy | display_name=Holy Angel | epithet_or_title=Angel
whois_horstats_1780911757,char_horstats,Horstats,horstats,Orc,Retired,data/evidence/whois/text/horstats.txt,data/evidence/whois/html/horstats.html,yes,no,no,medium,query_name=Horstats | display_name=Horstats :/ | epithet_or_title=:/
whois_horus_1780911763,char_horus,Horus,horus,Tarkhnarb Veteran,Retired,data/evidence/whois/text/horus.txt,data/evidence/whois/html/horus.html,yes,no,no,medium,query_name=Horus | display_name=Horus of Angband | epithet_or_title=of Angband
