character_id,character_name,page_slug,player_id,player_main_handle,player_known_by,player_link_confidence,player_link_evidence_id,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,has_whois_display,has_colour_whois,whois_display_html_path,whois_display_text_path,whois_capture_id,whois_capture_quality,mention_count,mention_high_confidence_count,mention_matched_known_count,mention_type_summary,mention_preview,has_ascii_art,ascii_art_count,best_ascii_art_score,group_candidate_count,group_candidate_confidence_summary,classification_review_needed,page_review_needed
char_verminaard,Verminaard,verminaard,player_0035,Fankil,Fankil [Alexander],medium,evidence_player_group_0035,Orc,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/verminaard.html,data/evidence/whois_display/text/verminaard.txt,mha:verminaard:1780917094:b7e33d35,high,0,0,0,,,no,0,,0,,no,no
char_viclona,Viclona,viclona,player_0181,Ancra,Ancra [Harry],medium,evidence_player_group_0181,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/viclona.html,data/evidence/whois_display/text/viclona.txt,mha:viclona:1780917099:bde88006,high,0,0,0,,,no,0,,0,,no,no
char_vidomina,Vidomina,vidomina,player_0049,Haazheel,Haazheel,medium,evidence_player_group_0049,Man,Eriadorian,Free Peoples,medium,General,General,Heroine,medium,,,,,female,high,,,,classified,yes,yes,data/evidence/whois_display/html/vidomina.html,data/evidence/whois_display/text/vidomina.txt,mha:vidomina:1780917105:484f670b,high,0,0,0,,,no,0,,0,,no,no
char_vij,Vij,vij,player_0197,Zmej,Zmej [Leha],medium,evidence_player_group_0197,Troll,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/vij.html,data/evidence/whois_display/text/vij.txt,mha:vij:1780917110:ed88358b,high,0,0,0,,,no,0,,0,,no,no
char_vili,Vili,vili,player_0083,Goretongue,Goretongue [Jeremiah],medium,evidence_player_group_0083,Dwarf,,Free Peoples,medium,Warrior,Warrior,Veteran,high,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/vili.html,data/evidence/whois_display/text/vili.txt,mha:vili:1780917116:9f23dafd,high,0,0,0,,,yes,1,46.0,0,,no,no
char_viljar,Viljar,viljar,player_0115,Marillion,Marillion,medium,evidence_player_group_0115,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_vincenzo,Vincenzo,vincenzo,player_0036,Atlas,Atlas,medium,evidence_player_group_0036,Hobbit,Harfoot,Free Peoples,medium,Magic-user,Magic-user,Sage,high,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/vincenzo.html,data/evidence/whois_display/text/vincenzo.txt,mha:vincenzo:1780917127:f60bc5c2,high,0,0,0,,,no,0,,0,,no,no
char_vip,Vip,vip,player_0197,Zmej,Zmej [Leha],medium,evidence_player_group_0197,Man,Black Númenórean,Minions of Sauron,high,General,General,Envoy,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/vip.html,data/evidence/whois_display/text/vip.txt,mha:vip:1780917133:8f7b7393,high,0,0,0,,,no,0,,1,low:1,no,yes
char_vishnak,Vishnak,vishnak,player_0188,Aiele,Aiele [Joel],medium,evidence_player_group_0188,Orc,Tarkhnarb,Minions of Sauron,high,Warrior,Warrior,Veteran,high,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/vishnak.html,data/evidence/whois_display/text/vishnak.txt,mha:vishnak:1780917138:80143cf6,high,0,0,0,,,no,0,,1,low:1,no,yes
char_vlas,Vlas,vlas,player_0033,Ginlon,Ginlon,medium,evidence_player_group_0033,Troll,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/vlas.html,data/evidence/whois_display/text/vlas.txt,mha:vlas:1780917144:0ff2a004,high,0,0,0,,,no,0,,0,,no,no
