character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_marre,Marre,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mauna,Mauna,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mecra,Mecra,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_meeka,Meeka,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mekul,Mekul,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_melanchre,Melanchre,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mengaz,Mengaz,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_merlin,Merlin,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mess,Mess,unknown,,Mountain Troll Softskin,Troll,Minions of Sauron,,Softskin,generic_title_no_class,race_term=Mountain Troll | class_title=Softskin | base_class_unknown,no
char_mestan,Mestan,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_meteor,Meteor,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mhur,Mhur,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_miko,Miko,unknown,,Tarkhnarb Adventurer,Orc,Minions of Sauron,,Adventurer,generic_title_no_class,race_term=Tarkhnarb | class_title=Adventurer | base_class_unknown,no
char_millen,Millen,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_minastir,Minastir,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_minos,Minos,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_minuial,Minuial,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_miyahk,Miyahk,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_moandor,Moandor,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mogshak,Mogshak,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mojo,Mojo,unknown,,Tarkhnarb Snaga,Orc,Minions of Sauron,,Snaga,generic_title_no_class,race_term=Tarkhnarb | class_title=Snaga | base_class_unknown,no
char_molor,Molor,unknown,,Silvan Adventurer,Elf,Free Peoples,,Adventurer,generic_title_no_class,race_term=Silvan | class_title=Adventurer | base_class_unknown,no
