immortal_evidence_id,character_id,character_key,display_name,source_character_name,immortal_status,immortal_category,is_maiar_muddler,honorary_immortal,evidence_kind,source_id,source_name,source_type,source_url,source_command,source_date_context,source_order,evidence_excerpt,confidence,review_status,notes
immortal_2026_06_16_retired_immortals_azaghal_44_listed_retired_immortal,char_azaghâl,Azaghâl,Azaghâl,Azaghâl,retired,Vala,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,44,Azaghâl is listed as retired a Vala.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_current_immortals_azan_25_listed_current_immortal,char_azan,Azan,Azan,Azan,current,Maia,no,no,listed_current_immortal,2026_06_16_current_immortals,MUME current immortal list,in_game_immortal_list,,view wizlist,List current as of 2026-06-16,25,Azan is listed as current a Maia.,medium,candidate,Copied by Lewis. (+m) means the immortal is also a Maiar Muddler / muddle code contributor.
immortal_2026_06_16_retired_immortals_babe_211_listed_retired_immortal,char_babe,Babe,Babe,Babe,retired,Maia,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,211,Babe is listed as retired a Maia.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_badger_45_listed_retired_immortal,char_badger,Badger,Badger,Badger,retired,Vala,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,45,Badger is listed as retired a Vala.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_bahrud_337_listed_retired_immortal,char_bahrud,Bahrud,Bahrud,Bahrud,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,337,Bahrud is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_bairanax_338_listed_retired_immortal,char_bairanax,Bairanax,Bairanax,Bairanax,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,338,Bairanax is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_baldur_339_listed_retired_immortal,char_baldur,Baldur,Baldur,Baldur,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,339,Baldur is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_balux_340_listed_retired_immortal,char_balux,Balux,Balux,Balux,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,340,Balux is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_bambuk_212_listed_retired_immortal,char_bambuk,Bambuk,Bambuk,Bambuk,retired,Maia,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,212,Bambuk is listed as retired a Maia.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_current_immortals_bantak_26_listed_current_immortal,char_bantak,Bantak,Bantak,Bantak,current,Maia,no,no,listed_current_immortal,2026_06_16_current_immortals,MUME current immortal list,in_game_immortal_list,,view wizlist,List current as of 2026-06-16,26,Bantak is listed as current a Maia.,medium,candidate,Copied by Lewis. (+m) means the immortal is also a Maiar Muddler / muddle code contributor.
