character_id,character_name,player_main_handle,player_known_by,derived_race,derived_faction,derived_base_class,derived_gender,classification_status,has_whois_display,has_colour_whois,mention_count,group_candidate_count,classification_review_needed,page_review_needed,page_slug
char_arkady,Arkady,Nerf,Nerf,,,,,no_whois_classification,no,no,0,0,yes,yes,arkady
char_arnoc,Arnoc,Vaab,Vaab [Joey],,,,,no_whois_classification,no,no,0,0,yes,yes,arnoc
char_aros,Aros,Tram,Tram,,,,,no_whois_classification,no,no,0,0,yes,yes,aros
char_artigor,Artigor,Hate,Hate,,,,,no_whois_classification,no,no,0,0,yes,yes,artigor
char_asanda,Asanda,Agattax,Agattax [Robin],,,,,no_whois_classification,no,no,0,0,yes,yes,asanda
char_aseff,Aseff,Aseff,Aseff,,,,,no_whois_classification,no,no,0,0,yes,yes,aseff
char_assa,Assa,Haista,Haista,,,,,no_whois_classification,no,no,0,0,yes,yes,assa
char_astar,Astar,Moonshade,Moonshade [Alex],,,,,no_whois_classification,no,no,0,0,yes,yes,astar
char_audi,Audi,Risca,Risca,,,,,no_whois_classification,no,no,0,0,yes,yes,audi
char_azhal,Azhal,Marre,Marre [Martin],,,,,no_whois_classification,no,no,0,0,yes,yes,azhal
char_azylic,Azylic,Sloo,Sloo,,,,,no_whois_classification,no,no,0,0,yes,yes,azylic
char_backfire,Backfire,Toe,Toe,,,,,no_whois_classification,no,no,0,0,yes,yes,backfire
char_baltimor,Baltimor,Ariala,Ariala [Sandman],,,,,no_whois_classification,no,no,0,0,yes,yes,baltimor
char_bamsefar,Bamsefar,Edvard,Edvard [Aron],,,,,no_whois_classification,no,no,0,0,yes,yes,bamsefar
char_baraban,Baraban,Rabarbar,Rabarbar [Mihail],,,,,no_whois_classification,no,no,0,0,yes,yes,baraban
char_bashy,Bashy,Feagil,Feagil,,,,,no_whois_classification,no,no,0,0,yes,yes,bashy
char_batar,Batar,Marillion,Marillion,,,,,no_whois_classification,no,no,0,0,yes,yes,batar
char_baurk,Baurk,Fredde,Fredde [Fredde],,,,,no_whois_classification,no,no,0,0,yes,yes,baurk
char_bearclaw,Bearclaw,Bearclaw,Bearclaw,,,,,no_whois_classification,no,no,0,0,yes,yes,bearclaw
char_belemoth,Belemoth,Haazheel,Haazheel,,,,,no_whois_classification,no,no,0,0,yes,yes,belemoth
char_belind,Belind,Siroth,Siroth,,,,,no_whois_classification,no,no,0,0,yes,yes,belind
char_belzagar,Belzagar,Manatark,Manatark [Kaido],,,,,no_whois_classification,no,no,0,0,yes,yes,belzagar
char_belzedin,Belzedin,Halir,Halir,,,,,no_whois_classification,no,no,0,0,yes,yes,belzedin
char_beogul,Beogul,Chauncey,Chauncey,,,,,no_whois_classification,no,no,0,0,yes,yes,beogul
char_berlal,Berlal,Vaab,Vaab [Joey],,,,,no_whois_classification,no,no,0,0,yes,yes,berlal
char_bigge,Bigge,Wow,Wow,,,,,no_whois_classification,no,no,0,0,yes,yes,bigge
char_bimulo,Bimulo,Hudson,Hudson,,,,,no_whois_classification,no,no,0,0,yes,yes,bimulo
