character_key,display_name,name_suffix,affiliation_id,affiliation_name,reason,known_character_id,whois_checked,evidence_kind,source_id,source_name,source_url,source_date_context,notes
Slithe,Slithe,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Strah,Strah The Protector,The Protector,durin_s_army,Durin's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Tendor,Tendor,,army_of_arthedain,Army of Arthedain,not_in_characters,,,listed_contact,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Thror,Thror,,durin_s_house,Durin's House,known_character_without_whois,char_thror,false,founder,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Trapano,Trapano,,shire_shock_troops,Shire Shock Troops,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Troin,Troin,,durin_s_house,Durin's House,known_character_without_whois,char_troin,false,founder,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Vräsh,Vräsh Ugmök,Ugmök,durin_s_army,Durin's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Warf,Warf Strongarm,Strongarm,durin_s_house,Durin's House,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Whity,Whity,,shire_shock_troops,Shire Shock Troops,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Xury,Xury,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Zigin,Zigin Tangledbeard,Tangledbeard,durin_s_house,Durin's House,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Ziglak,Ziglak,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
