character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_skyfire,Skyfire,male,medium,Half-elven Battlemaster,Half-Elf,Free Peoples,Warrior,Battlemaster,classified,race_term=Half-elven | class_title=Battlemaster,no
char_sloshed,Sloshed,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_smitsy,Smitsy,male,medium,Stoor Battlemaster,Hobbit,Free Peoples,Warrior,Battlemaster,classified,race_term=Stoor | class_title=Battlemaster,no
char_smrtak,Smrtak,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_snick,Snick,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_snicker,Snicker,male,medium,Black Númenórean Wizard,Man,Minions of Sauron,Mage,Wizard,classified,race_term=Black Númenórean | class_title=Wizard,no
char_snowy,Snowy,male,medium,Noldorin Wizard,Elf,Free Peoples,Mage,Wizard,classified,race_term=Noldorin | class_title=Wizard,no
char_squidgy,Squidgy,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_tahkr,Tahkr,male,medium,Orkish Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Orkish | class_title=Battlemaster,no
char_tauin,Tauin,male,medium,Firebeard Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Firebeard | class_title=Battlemaster,no
char_teomyr,Teomyr,male,medium,Beorning Battlemaster,Man,Free Peoples,Warrior,Battlemaster,classified,race_term=Beorning | class_title=Battlemaster,no
char_tharam,Tharam,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_thorzor,Thorzor,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_thróin,Thróin,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_tiamat,Tiamat,male,medium,Noldorin Warlock,Elf,Free Peoples,Mage,Warlock,classified,race_term=Noldorin | class_title=Warlock,no
char_torham,Torham,male,medium,Beorning Battlemaster,Man,Free Peoples,Warrior,Battlemaster,classified,race_term=Beorning | class_title=Battlemaster,no
char_trazsh,Trazsh,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_ugnez,Ugnez,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_uldrâk,Uldrâk,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_umnik,Umnik,male,medium,Half-elven Warlock,Half-Elf,Free Peoples,Mage,Warlock,classified,race_term=Half-elven | class_title=Warlock,no
char_ungrim,Ungrim,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_vugluskr,Vugluskr,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_warzûr,Warzûr,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_zeroth,Zeroth,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_zlababa,Zlababa,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_zoone,Zoone,male,medium,Sauron's gift to women is a level thirty-four Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,parser_suspect_or_custom_descriptor,race_term=Tarkhnarb | class_title=Battlemaster | unmatched=Sauron's gift to women is a level thirty-four,yes
