character_id,character_name,player_id,player_main_handle,player_known_by,player_real_name,player_link_type,player_link_status,player_link_confidence,player_link_evidence_id,player_link_notes,immortal_list_status,immortal_list_category,is_maiar_muddler,honorary_immortal,immortal_list_source_id,immortal_list_source_name,immortal_list_source_date_context,immortal_list_evidence_id,immortal_list_review_status,immortal_list_notes,source_whois_id,source_descriptor,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,classification_notes,candidate_whois_rows,review_needed
char_alderik,Alderik,player_0136,Francis,Francis,,listed_same_player,accepted,medium,evidence_player_group_0136,,,,,,,,,,,,whois_alderik_1780899163,Elf,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Elf | base_class_unknown,1,no
char_alf,Alf,player_0006,Chavez,Chavez,,listed_same_player,accepted,medium,evidence_player_group_0006,,,,,,,,,,,,whois_alf_1780899168,Half-Elf,Half-Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Half-Elf | base_class_unknown,1,no
char_alfank,Alfank,player_0081,Vassago,Vassago,,listed_same_player,accepted,medium,evidence_player_group_0081,,,,,,,,,,,,whois_alfank_1780899174,Dwarf,Dwarf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Dwarf | base_class_unknown,1,no
char_alfo,Alfo,player_0163,Leave,Leave,,listed_same_player,accepted,medium,evidence_player_group_0163,,,,,,,,,,,,whois_alfo_1780899179,Elf,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Elf | base_class_unknown,1,no
char_alfrim,Alfrim,player_0044,Perago,Perago,,listed_same_player,accepted,medium,evidence_player_group_0044,,,,,,,,,,,,whois_alfrim_1780899237,Elf,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Elf | base_class_unknown,1,no
char_algaron,Algaron,player_0021,Cormac,Cormac,,listed_same_player,accepted,medium,evidence_player_group_0021,,,,,,,,,,,,whois_algaron_1780899243,Silvan Hero,Elf,Silvan,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,race_term=Silvan | class_title=Hero | who_class_group=General | class_confidence=medium,1,no
char_alhadar,Alhadar,player_0038,Sabadon,Sabadon,,listed_same_player,accepted,medium,evidence_player_group_0038,,,,,,,,,,,,whois_alhádar_1780899248,Elf,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Elf | base_class_unknown,1,no
char_ali,Ali,player_0198,Fisben,Fisben [Gleb],Gleb,listed_same_player,accepted,medium,evidence_player_group_0198,,,,,,,,,,,,whois_ali_1780899254,Firebeard Battlemaster,Dwarf,Firebeard,Free Peoples,medium,Warrior,Warrior,Battlemaster,high,,,,,,,,,,classified,race_term=Firebeard | class_title=Battlemaster | who_class_group=Warrior | class_confidence=high,1,no
char_alicia,Alicia,player_0063,Ling,Ling,,listed_same_player,accepted,medium,evidence_player_group_0063,,,,,,,,,,,,whois_alicia_1780899259,Dwarven Weaponsmistress,Dwarf,,Free Peoples,medium,Warrior,Warrior,Weaponsmistress,high,Unknown percent in at least two weapon skills,,,,female,high,,,,classified,race_term=Dwarven | class_title=Weaponsmistress | who_class_group=Warrior | class_confidence=high | skill_notes=Unknown percent in at least two weapon skills,1,no
char_alizee,Alizee,player_0096,Voile,Voile,,listed_same_player,accepted,medium,evidence_player_group_0096,,,,,,,,,,,,whois_alizee_1780899265,Sindarin Adventurer,Elf,Sindarin,Free Peoples,medium,General,General,Adventurer,medium,,,,,,,,,,classified,race_term=Sindarin | class_title=Adventurer | who_class_group=General | class_confidence=medium,1,no
