character_key,first_source_id,immortal_statuses,immortal_categories,is_maiar_muddler,honorary_immortal,reason,review_status
Calamity,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Caldan,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Calebin,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Calesto,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Calmacil,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Cararion,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cardin,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Carousel,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cassanunda,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Cedrim,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ceeris,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Celebsil,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Ceno,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ceres,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Chauncey,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Chavez,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Chay,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Chicken,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Chops,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Chrizt,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Chuck,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ciara,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Cielo,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ciltor,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Citygaurd,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cliff,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cobble,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Conklin,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Cookie,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Cormac,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cosmos,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Covah,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Coydt,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Crazack,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Creston,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Critter,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
CryHavoc,2026_06_16_retired_immortals,retired,Implementors,no,no,immortal_list_2026_06_16,candidate
Crysania,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cuantar,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Culbor,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Curumo,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cute,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Cúthalion,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Daemor,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Dand,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Daniel,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Darcy,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Dardhel,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Dargor,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Daro,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Darquin,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Darthang,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Darvil,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Daryl,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
David,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Dawnborn,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Deamon,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Deda,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Degolas,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Dende,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Deneth,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Deodred,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Deriel,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Destiny,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Dewa,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Dhalia,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Diana,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Djinn,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Donutello,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Dorien,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Dorin,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Dorn,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Draak,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Drago,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Drakiz,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
