source_id,immortal_status,immortal_category,character_key,display_name,is_maiar_muddler,honorary_immortal,evidence_kind,source_order,review_status,notes
2026_06_16_retired_immortals,retired,Maiar,Crazack,Crazack,no,no,listed_retired_immortal,181,candidate,
2026_06_16_retired_immortals,retired,Maiar,Dorn,Dorn,no,no,listed_retired_immortal,182,candidate,
2026_06_16_retired_immortals,retired,Maiar,Draak,Draak,no,no,listed_retired_immortal,183,candidate,
2026_06_16_retired_immortals,retired,Maiar,Elan,Elan,no,no,listed_retired_immortal,184,candidate,
2026_06_16_retired_immortals,retired,Maiar,Fog,Fog,no,no,listed_retired_immortal,185,candidate,
2026_06_16_retired_immortals,retired,Maiar,Gaul,Gaul,no,no,listed_retired_immortal,186,candidate,
2026_06_16_retired_immortals,retired,Maiar,Gefe,Gefe,no,no,listed_retired_immortal,187,candidate,
2026_06_16_retired_immortals,retired,Maiar,Gwaywffon,Gwaywffon,no,no,listed_retired_immortal,188,candidate,
2026_06_16_retired_immortals,retired,Maiar,Kardrim,Kardrim,no,no,listed_retired_immortal,189,candidate,
2026_06_16_retired_immortals,retired,Maiar,Karlsburg,Karlsburg,no,no,listed_retired_immortal,190,candidate,
2026_06_16_retired_immortals,retired,Maiar,Leetah,Leetah,no,no,listed_retired_immortal,191,candidate,
2026_06_16_retired_immortals,retired,Maiar,Morceleb,Morceleb,no,no,listed_retired_immortal,192,candidate,
2026_06_16_retired_immortals,retired,Maiar,Narcissus,Narcissus,no,no,listed_retired_immortal,193,candidate,
2026_06_16_retired_immortals,retired,Maiar,Nom,Nom,no,no,listed_retired_immortal,194,candidate,
2026_06_16_retired_immortals,retired,Maiar,Phloxy,Phloxy,no,no,listed_retired_immortal,195,candidate,
2026_06_16_retired_immortals,retired,Maiar,Science,Science,no,no,listed_retired_immortal,196,candidate,
2026_06_16_retired_immortals,retired,Maiar,Shaedric,Shaedric,no,no,listed_retired_immortal,197,candidate,
2026_06_16_retired_immortals,retired,Maiar,Shorn,Shorn,no,no,listed_retired_immortal,198,candidate,
2026_06_16_retired_immortals,retired,Maiar,Sinprejic,Sinprejic,no,no,listed_retired_immortal,199,candidate,
2026_06_16_retired_immortals,retired,Maiar,Terdamon,Terdamon,no,no,listed_retired_immortal,200,candidate,
2026_06_16_retired_immortals,retired,Maiar,Utu,Utu,no,no,listed_retired_immortal,201,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ward,Ward,no,no,listed_retired_immortal,202,candidate,
2026_06_16_retired_immortals,retired,Maiar,Zarhuk,Zarhuk,no,no,listed_retired_immortal,203,candidate,
2026_06_16_retired_immortals,retired,Maiar,Aielë,Aielë,no,no,listed_retired_immortal,204,candidate,
2026_06_16_retired_immortals,retired,Maiar,Alamar,Alamar,no,no,listed_retired_immortal,205,candidate,
2026_06_16_retired_immortals,retired,Maiar,Amlion,Amlion,no,no,listed_retired_immortal,206,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ammon,Ammon,no,no,listed_retired_immortal,207,candidate,
2026_06_16_retired_immortals,retired,Maiar,Anne,Anne,no,no,listed_retired_immortal,208,candidate,
2026_06_16_retired_immortals,retired,Maiar,Aratan,Aratan,no,no,listed_retired_immortal,209,candidate,
2026_06_16_retired_immortals,retired,Maiar,Atlas,Atlas,no,no,listed_retired_immortal,210,candidate,
2026_06_16_retired_immortals,retired,Maiar,Babe,Babe,no,no,listed_retired_immortal,211,candidate,
2026_06_16_retired_immortals,retired,Maiar,Bambuk,Bambuk,no,no,listed_retired_immortal,212,candidate,
