link_id,player_id,character_id,character_name,main_handle,link_type,status,confidence,primary_evidence_id,notes
link_01321,player_0155,char_juggles,Juggles,Bellows,listed_same_player,accepted,medium,evidence_player_group_0155,
link_01322,player_0155,char_kestrel,Kestrel,Bellows,listed_same_player,accepted,medium,evidence_player_group_0155,
link_01323,player_0155,char_melanchre,Melanchre,Bellows,listed_same_player,accepted,medium,evidence_player_group_0155,
link_01324,player_0155,char_spiritus,Spiritus,Bellows,listed_same_player,accepted,medium,evidence_player_group_0155,
link_01325,player_0156,char_kogan,Kogan,Kogan,listed_same_player,accepted,medium,evidence_player_group_0156,
link_01326,player_0156,char_zina,Zina,Kogan,listed_same_player,accepted,medium,evidence_player_group_0156,
link_01327,player_0156,char_wurzl,Wurzl,Kogan,listed_same_player,accepted,medium,evidence_player_group_0156,
link_01328,player_0156,char_kviea,Kviea,Kogan,listed_same_player,accepted,medium,evidence_player_group_0156,
link_01329,player_0157,char_dorolff,Dorolff,Dorolff,listed_same_player,accepted,medium,evidence_player_group_0157,
link_01330,player_0157,char_martijn,Martijn,Dorolff,listed_same_player,accepted,medium,evidence_player_group_0157,
link_01331,player_0157,char_reijki,Reijki,Dorolff,listed_same_player,accepted,medium,evidence_player_group_0157,
link_01332,player_0157,char_wobbit,Wobbit,Dorolff,listed_same_player,accepted,medium,evidence_player_group_0157,
link_01333,player_0158,char_ainafea,Ainafea,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
link_01334,player_0158,char_dafur,Dafur,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
link_01335,player_0158,char_eliwe,Eliwe,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
link_01336,player_0158,char_fenir,Fenir,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
link_01337,player_0158,char_halas,Halas,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
link_01338,player_0158,char_knold,Knold,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
link_01339,player_0158,char_ranhith,Ranhith,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
link_01340,player_0158,char_thoronwe,Thoronwe,Ainafea,listed_same_player,accepted,medium,evidence_player_group_0158,
