character_name,character_id,already_checked,priority,notes
Belemoth,char_belemoth,true,normal,whois returned no extant character information in MUME
Belind,char_belind,true,normal,whois returned no extant character information in MUME
Bellows,char_bellows,true,normal,whois imported from Mudlet archive
Belrun,char_belrun,true,normal,whois imported from Mudlet archive
Beltira,char_beltira,true,normal,whois imported from Mudlet archive
Belzagar,char_belzagar,true,normal,whois imported from Mudlet archive
Belzedin,char_belzedin,true,normal,whois returned no extant character information in MUME
Beogul,char_beogul,true,normal,whois imported from Mudlet archive
Beorel,char_beorel,true,normal,whois imported from Mudlet archive
Beowulf,char_beowulf,true,normal,whois imported from Mudlet archive
Beremon,char_beremon,true,normal,whois imported from Mudlet archive
Berg,char_berg,true,normal,whois imported from Mudlet archive
Berin,char_berin,true,normal,whois imported from Mudlet archive
Berlal,char_berlal,true,normal,whois returned no extant character information in MUME
Beruska,char_beruska,true,normal,whois imported from Mudlet archive
Betty,char_betty,true,normal,whois imported from Mudlet archive
Bian,char_bian,true,normal,whois imported from Mudlet archive
Bianca,char_bianca,true,normal,whois imported from Mudlet archive
Bianthor,char_bianthor,true,normal,whois imported from Mudlet archive
Bifur,char_bifur,true,normal,whois imported from Mudlet archive
Bigge,char_bigge,true,normal,whois returned no extant character information in MUME
Bigger,char_bigger,true,normal,whois imported from Mudlet archive
Bijec,char_bijec,true,normal,whois imported from Mudlet archive
Bimulo,char_bimulo,true,normal,whois returned no extant character information in MUME
Bishn�k,char_bishn_k,true,normal,whois returned no extant character information in MUME
Bizarre,char_bizarre,true,normal,whois imported from Mudlet archive
Bjorn,char_bjorn,true,normal,whois imported from Mudlet archive
Blackfoot,char_blackfoot,true,normal,whois imported from Mudlet archive
Blackthorne,char_blackthorne,true,normal,whois returned no extant character information in MUME
Blizzard,char_blizzard,true,normal,whois imported from Mudlet archive
Blizzardo,char_blizzardo,true,normal,whois returned no extant character information in MUME
Blob,char_blob,true,normal,whois imported from Mudlet archive
Bloha,char_bloha,true,normal,whois returned no extant character information in MUME
Bluebell,char_bluebell,true,normal,whois imported from Mudlet archive
Blyn,char_blyn,true,normal,whois imported from Mudlet archive
Blysk,char_blysk,true,normal,whois returned no extant character information in MUME
Bobba,char_bobba,true,normal,whois imported from Mudlet archive
Bobbie,char_bobbie,true,normal,whois imported from Mudlet archive
Bodhran,char_bodhran,true,normal,whois imported from Mudlet archive
Bodycast,char_bodycast,true,normal,whois imported from Mudlet archive
Bogger,char_bogger,true,normal,whois imported from Mudlet archive
Bogodur,char_bogodur,true,normal,whois returned no extant character information in MUME
Bohemond,char_bohemond,true,normal,whois returned no extant character information in MUME
Bok,char_bok,true,normal,whois imported from Mudlet archive
Bomir,char_bomir,true,normal,whois imported from Mudlet archive
Bonebiter,char_bonebiter,true,normal,whois imported from Mudlet archive
Boomer,char_boomer,true,normal,whois imported from Mudlet archive
Boot,char_boot,true,normal,whois imported from Mudlet archive
Bootyho,char_bootyho,true,normal,whois imported from Mudlet archive
Borek,char_borek,true,normal,whois returned no extant character information in MUME
Borgash,char_borgash,true,normal,whois returned no extant character information in MUME
Bornack,char_bornack,true,normal,whois imported from Mudlet archive
Boroda,char_boroda,true,normal,whois returned no extant character information in MUME
Borodjavka,char_borodjavka,true,normal,whois imported from Mudlet archive
Botesia,char_botesia,true,normal,whois imported from Mudlet archive
Bounty,char_bounty,true,normal,whois returned no extant character information in MUME
Braddock,char_braddock,true,normal,whois imported from Mudlet archive
Bramba,char_bramba,true,normal,whois returned no extant character information in MUME
Brash,char_brash,true,normal,whois imported from Mudlet archive
Brask,char_brask,true,normal,whois imported from Mudlet archive
Breaux,char_breaux,true,normal,whois imported from Mudlet archive
Britney,char_britney,true,normal,whois imported from Mudlet archive
Brog,char_brog,true,normal,whois imported from Mudlet archive
Brogan,char_brogan,true,normal,whois imported from Mudlet archive
Bromir,char_bromir,true,normal,whois imported from Mudlet archive
Broom,char_broom,true,normal,whois imported from Mudlet archive
Brugan,char_brugan,true,normal,whois returned no extant character information in MUME
Bruise,char_bruise,true,normal,whois imported from Mudlet archive
Brumbur,char_brumbur,true,normal,whois imported from Mudlet archive
Bruni,char_bruni,true,normal,whois imported from Mudlet archive
Brutte,char_brutte,true,normal,whois imported from Mudlet archive
Brutux,char_brutux,true,normal,whois imported from Mudlet archive
Brynhilde,char_brynhilde,true,normal,whois imported from Mudlet archive
Bubla,char_bubla,true,normal,whois imported from Mudlet archive
Bubu,char_bubu,true,normal,whois imported from Mudlet archive
Buffer,char_buffer,true,normal,whois imported from Mudlet archive
Buggar,char_buggar,true,normal,whois imported from Mudlet archive
Buliwyf,char_buliwyf,true,normal,whois returned no extant character information in MUME
Bulldozer,char_bulldozer,true,normal,whois imported from Mudlet archive
Bullebu,char_bullebu,true,normal,whois imported from Mudlet archive
Buller,char_buller,true,normal,whois imported from Mudlet archive
Bum,char_bum,true,normal,whois imported from Mudlet archive
Bumbur,char_bumbur,true,normal,whois imported from Mudlet archive
Burb,char_burb,true,normal,whois imported from Mudlet archive
Burghul,char_burghul,true,normal,whois imported from Mudlet archive
Burk,char_burk,true,normal,whois imported from Mudlet archive
Burok,char_burok,true,normal,whois returned no extant character information in MUME
Burst,char_burst,true,normal,whois imported from Mudlet archive
